Glasses,Hats,Eyes,Mouth,Shirt,Color,Background
vintage yellow,santa hat,closed,grinning,inmate,#387DDC,#E6CAAF
standard,green mohawk,standard,grinning,t-shirt,#D9BD9E,#FD9DCB
transparent,santa hat,standard,open,collared,#FFFFFF,#E6CAAF
nerdy,afro,dizzy,grinning,t-shirt,#D9BD9E,#E6CAAF
plastic,ribs,sparkling,grinning,collared,#959A99,#FD9DCB
nerdy,snowhat,standard,standard,punk,#FFFFFF,#E6CAAF
cool gold,snowhat,angry,open,overalls,#F6C3DB,#B5B3DA
nerdy,white mohawk,sparkling,standard,t-shirt,#FFFFFF,#E6CAAF
nerdy,santa hat,closed,yawn,hawaiian2,#959A99,#FD9DCB
vintage red,red mohawk,angry,no expression,t-shirt,#FFFFFF,#F68A5C
nerdy,baseball,closed,standard,hawaiian2,#C62B3E,#EE2840
shiny,sausage,closed,grinning,collared,#F6C3DB,#EE2840
transparent,aviator,dizzy,standard,hawaiian3,#959A99,#98CDCD
vintage red,green mohawk,closed,yawn,overalls,#181B2B,#E6CAAF
nerdy,white mohawk,wink,no expression,hawaiian2,#181B2B,#98CDCD
shiny,blue mohawk,sparkling,smoking,hawaiian3,#D9BD9E,#FD9DCB
shiny,white mohawk,standard,open,hawaiian1,#FFFFFF,#B5B3DA
transparent,poop,standard,open,inmate,#F6C3DB,#FAE74B
shiny,aviator,angry,grinning,inmate,#F6C3DB,#EE2840
standard,aviator,standard,fish,standard,#959A99,#FAE74B
plastic,afro,dizzy,yawn,hoodie,#FFFFFF,#FD9DCB
standard,bucket hat,standard,no expression,hawaiian2,#D9BD9E,#E6CAAF
nerdy,baseball,sparkling,yawn,hoodie,#D9BD9E,#B5B3DA
plastic,white mohawk,standard,open,basketball,#D9BD9E,#FAE74B
standard,snowhat,dizzy,fish,scarf,#D9BD9E,#F68A5C
standard,snowhat,dizzy,grinning,overalls,#F6C3DB,#98CDCD
nerdy,snowhat,standard,yawn,standard,#FFFFFF,#F68A5C
shiny,blue mohawk,standard,open,hawaiian1,#959A99,#F68A5C
nerdy,bennett,standard,standard,scarf,#F6C3DB,#98CDCD
shiny,bucket hat,angry,smoking,hoodie,#959A99,#EE2840
standard,bennett,dizzy,open,collared,#FFFFFF,#98CDCD
nerdy,snowhat,sparkling,grinning,overalls,#D9BD9E,#E6CAAF
standard,baseball,angry,grinning,t-shirt,#D9BD9E,#98CDCD
standard,bucket hat,wink,yawn,punk,#D9BD9E,#FD9DCB
standard,fishing hat,angry,standard,t-shirt,#F6C3DB,#B5B3DA
shiny,white mohawk,wink,yawn,scarf,#F6C3DB,#FAE74B
standard,sausage,closed,yawn,hawaiian1,#D9BD9E,#FAE74B
cool gold,bennett,wink,open,hawaiian3,#F6C3DB,#FAE74B
vintage red,afro,wink,fish,overalls,#FFFFFF,#F68A5C
standard,green mohawk,sparkling,grinning,hoodie,#959A99,#E6CAAF
standard,afro,angry,yawn,t-shirt,#959A99,#E6CAAF
nerdy,afro,wink,no expression,collared,#F6C3DB,#FD9DCB
shiny,fishing hat,dizzy,open,punk,#D9BD9E,#B5B3DA
standard,standard,wink,open,hoodie,#FFFFFF,#EE2840
nerdy,blue mohawk,standard,open,hawaiian3,#FFFFFF,#E6CAAF
standard,white mohawk,standard,yawn,scarf,#181B2B,#F68A5C
transparent,snowhat,standard,smoking,hoodie,#C62B3E,#98CDCD
standard,snowhat,angry,open,scarf,#F6C3DB,#E6CAAF
standard,ribs,wink,standard,inmate,#F6C3DB,#E6CAAF
transparent,snowhat,wink,standard,hoodie,#181B2B,#B5B3DA
standard,standard,closed,grinning,punk,#959A99,#F68A5C
nerdy,snowhat,standard,smoking,overalls,#D9BD9E,#B5B3DA
cool gold,fishing hat,closed,no expression,hawaiian3,#D9BD9E,#FAE74B
standard,aviator,standard,yawn,scarf,#959A99,#B5B3DA
transparent,snowhat,standard,standard,punk,#387DDC,#EE2840
plastic,afro,wink,standard,hoodie,#C62B3E,#B5B3DA
plastic,bennett,sparkling,grinning,hawaiian2,#FFFFFF,#E6CAAF
transparent,aviator,standard,smoking,basketball,#D9BD9E,#E6CAAF
standard,bucket hat,angry,no expression,overalls,#D9BD9E,#F68A5C
cool pink,green mohawk,closed,standard,hoodie,#F6C3DB,#FD9DCB
standard,aviator,closed,no expression,overalls,#FFFFFF,#98CDCD
standard,santa hat,wink,standard,scarf,#959A99,#EE2840
nerdy,snowhat,closed,open,hoodie,#D9BD9E,#E6CAAF
transparent,baseball,closed,open,basketball,#959A99,#FAE74B
nerdy,sausage,standard,no expression,collared,#C62B3E,#B5B3DA
transparent,afro,wink,standard,overalls,#181B2B,#B5B3DA
standard,afro,closed,standard,scarf,#959A99,#98CDCD
transparent,santa hat,standard,open,basketball,#FFFFFF,#B5B3DA
standard,blue mohawk,standard,grinning,overalls,#181B2B,#FD9DCB
nerdy,baseball,standard,no expression,basketball,#181B2B,#FD9DCB
standard,red mohawk,closed,yawn,hawaiian1,#F6C3DB,#F68A5C
standard,red mohawk,sparkling,no expression,hawaiian1,#387DDC,#FAE74B
standard,santa hat,sparkling,smoking,t-shirt,#959A99,#B5B3DA
transparent,afro,standard,standard,basketball,#F6C3DB,#E6CAAF
transparent,aviator,sparkling,smoking,punk,#FFFFFF,#98CDCD
nerdy,bucket hat,dizzy,open,collared,#959A99,#B5B3DA
nerdy,baseball,standard,open,punk,#181B2B,#E6CAAF
transparent,santa hat,standard,grinning,overalls,#FFFFFF,#FAE74B
standard,bennett,closed,yawn,hawaiian2,#181B2B,#EE2840
vintage yellow,baseball,angry,no expression,scarf,#FFFFFF,#FD9DCB
transparent,sausage,dizzy,standard,punk,#387DDC,#FAE74B
standard,red mohawk,wink,grinning,scarf,#FFFFFF,#E6CAAF
cool gold,red mohawk,standard,yawn,t-shirt,#D9BD9E,#E6CAAF
plastic,red mohawk,angry,grinning,hawaiian1,#D9BD9E,#E6CAAF
plastic,afro,closed,standard,hoodie,#959A99,#EE2840
plastic,blue mohawk,angry,grinning,hawaiian3,#C62B3E,#FD9DCB
standard,red mohawk,standard,smoking,hawaiian1,#FFFFFF,#FAE74B
standard,snowhat,angry,grinning,collared,#959A99,#E6CAAF
shiny,aviator,dizzy,standard,hoodie,#C62B3E,#FD9DCB
standard,snowhat,wink,standard,overalls,#181B2B,#F68A5C
shiny,bennett,standard,grinning,inmate,#387DDC,#98CDCD
transparent,afro,standard,standard,hoodie,#F6C3DB,#B5B3DA
plastic,aviator,wink,standard,punk,#D9BD9E,#E6CAAF
shiny,snowhat,closed,open,inmate,#FFFFFF,#FD9DCB
standard,afro,standard,grinning,hawaiian3,#959A99,#E6CAAF
cool pink,snowhat,angry,standard,scarf,#C62B3E,#E6CAAF
vintage red,poop,standard,yawn,hawaiian3,#F6C3DB,#B5B3DA
shiny,green mohawk,angry,standard,hoodie,#181B2B,#B5B3DA
nerdy,bucket hat,dizzy,standard,inmate,#181B2B,#E6CAAF
nerdy,red mohawk,wink,no expression,t-shirt,#181B2B,#F68A5C
transparent,snowhat,closed,smoking,basketball,#387DDC,#98CDCD
nerdy,aviator,sparkling,smoking,basketball,#FFFFFF,#FD9DCB
nerdy,bennett,sparkling,grinning,punk,#F6C3DB,#F68A5C
cool pink,afro,standard,grinning,overalls,#C62B3E,#FAE74B
cool pink,afro,closed,no expression,scarf,#181B2B,#B5B3DA
standard,santa hat,wink,open,collared,#FFFFFF,#98CDCD
plastic,snowhat,sparkling,no expression,scarf,#181B2B,#B5B3DA
nerdy,santa hat,standard,no expression,scarf,#C62B3E,#FAE74B
nerdy,standard,closed,yawn,basketball,#D9BD9E,#98CDCD
vintage yellow,green mohawk,angry,grinning,hoodie,#959A99,#98CDCD
standard,snowhat,wink,grinning,t-shirt,#959A99,#E6CAAF
cool gold,white mohawk,closed,no expression,basketball,#C62B3E,#B5B3DA
cool gold,bucket hat,closed,grinning,hawaiian3,#FFFFFF,#F68A5C
shiny,blue mohawk,angry,yawn,collared,#C62B3E,#B5B3DA
plastic,blue mohawk,closed,open,tattoos,#FFFFFF,#F68A5C
standard,santa hat,closed,no expression,hawaiian1,#181B2B,#B5B3DA
plastic,green mohawk,standard,standard,overalls,#387DDC,#E6CAAF
standard,blue mohawk,dizzy,no expression,hoodie,#F6C3DB,#EE2840
nerdy,aviator,standard,yawn,hawaiian1,#FFFFFF,#FAE74B
transparent,bennett,angry,standard,hoodie,#FFFFFF,#FD9DCB
shiny,afro,dizzy,no expression,t-shirt,#D9BD9E,#FD9DCB
nerdy,afro,sparkling,smoking,tattoos,#D9BD9E,#FD9DCB
nerdy,red mohawk,closed,open,hawaiian2,#F6C3DB,#FD9DCB
transparent,blue mohawk,standard,standard,t-shirt,#FFFFFF,#FAE74B
shiny,afro,dizzy,yawn,hawaiian2,#F6C3DB,#F68A5C
vintage red,blue mohawk,sparkling,standard,overalls,#FFFFFF,#EE2840
shiny,baseball,standard,standard,punk,#F6C3DB,#F68A5C
transparent,white mohawk,wink,standard,t-shirt,#181B2B,#EE2840
nerdy,aviator,sparkling,fish,hawaiian1,#387DDC,#FAE74B
cool gold,aviator,closed,smoking,collared,#181B2B,#98CDCD
vintage yellow,afro,standard,smoking,t-shirt,#181B2B,#B5B3DA
nerdy,sausage,standard,no expression,inmate,#181B2B,#FAE74B
standard,snowhat,dizzy,standard,hawaiian1,#F6C3DB,#FD9DCB
plastic,green mohawk,closed,grinning,basketball,#D9BD9E,#98CDCD
shiny,bennett,standard,open,hawaiian2,#FFFFFF,#FD9DCB
cool pink,bucket hat,standard,standard,t-shirt,#F6C3DB,#FD9DCB
nerdy,poop,wink,fish,inmate,#387DDC,#98CDCD
vintage yellow,bucket hat,standard,standard,t-shirt,#959A99,#FD9DCB
shiny,baseball,wink,no expression,scarf,#D9BD9E,#F68A5C
vintage yellow,baseball,angry,standard,collared,#D9BD9E,#FAE74B
shiny,bucket hat,standard,yawn,scarf,#D9BD9E,#FAE74B
nerdy,ribs,closed,yawn,hoodie,#F6C3DB,#F68A5C
plastic,bennett,dizzy,standard,overalls,#FFFFFF,#EE2840
standard,aviator,standard,standard,collared,#D9BD9E,#EE2840
standard,ribs,closed,no expression,hawaiian3,#181B2B,#E6CAAF
shiny,red mohawk,closed,standard,t-shirt,#FFFFFF,#EE2840
transparent,snowhat,angry,grinning,basketball,#181B2B,#E6CAAF
transparent,white mohawk,wink,smoking,hawaiian3,#387DDC,#98CDCD
shiny,snowhat,closed,standard,t-shirt,#F6C3DB,#B5B3DA
vintage red,baseball,angry,grinning,hawaiian3,#FFFFFF,#F68A5C
standard,red mohawk,dizzy,no expression,tattoos,#959A99,#B5B3DA
vintage red,baseball,wink,standard,inmate,#181B2B,#EE2840
cool gold,bucket hat,closed,grinning,collared,#959A99,#98CDCD
transparent,poop,closed,smoking,inmate,#F6C3DB,#B5B3DA
transparent,standard,angry,standard,collared,#F6C3DB,#98CDCD
transparent,santa hat,angry,standard,t-shirt,#F6C3DB,#F68A5C
standard,snowhat,closed,grinning,inmate,#C62B3E,#FD9DCB
nerdy,sausage,dizzy,no expression,overalls,#D9BD9E,#EE2840
plastic,santa hat,standard,smoking,inmate,#959A99,#FAE74B
standard,fishing hat,closed,smoking,hoodie,#FFFFFF,#E6CAAF
transparent,aviator,standard,yawn,hawaiian3,#FFFFFF,#E6CAAF
nerdy,baseball,angry,standard,punk,#F6C3DB,#FAE74B
plastic,bennett,standard,open,hawaiian3,#387DDC,#F68A5C
standard,green mohawk,standard,yawn,overalls,#181B2B,#EE2840
transparent,baseball,standard,grinning,basketball,#FFFFFF,#E6CAAF
shiny,aviator,wink,no expression,hawaiian1,#959A99,#98CDCD
shiny,poop,sparkling,grinning,hawaiian3,#959A99,#F68A5C
plastic,green mohawk,closed,open,scarf,#FFFFFF,#FAE74B
vintage yellow,red mohawk,angry,grinning,t-shirt,#FFFFFF,#EE2840
nerdy,poop,wink,standard,standard,#181B2B,#98CDCD
cool gold,bennett,closed,fish,t-shirt,#181B2B,#F68A5C
plastic,santa hat,dizzy,grinning,collared,#C62B3E,#F68A5C
transparent,standard,angry,standard,hawaiian3,#387DDC,#F68A5C
transparent,white mohawk,sparkling,fish,basketball,#181B2B,#EE2840
cool gold,aviator,angry,standard,hawaiian2,#FFFFFF,#FAE74B
nerdy,aviator,wink,yawn,basketball,#F6C3DB,#FAE74B
standard,snowhat,dizzy,standard,hawaiian3,#FFFFFF,#E6CAAF
shiny,green mohawk,standard,fish,hawaiian2,#FFFFFF,#FAE74B
nerdy,afro,angry,open,hawaiian2,#181B2B,#B5B3DA
standard,bennett,sparkling,open,hoodie,#959A99,#B5B3DA
cool pink,baseball,wink,grinning,hawaiian3,#FFFFFF,#FD9DCB
plastic,bennett,angry,no expression,hoodie,#F6C3DB,#B5B3DA
standard,red mohawk,wink,yawn,standard,#181B2B,#EE2840
plastic,white mohawk,standard,standard,scarf,#F6C3DB,#E6CAAF
cool pink,aviator,standard,standard,inmate,#C62B3E,#F68A5C
standard,sausage,sparkling,smoking,hawaiian3,#F6C3DB,#E6CAAF
transparent,standard,wink,open,hawaiian3,#959A99,#F68A5C
standard,aviator,sparkling,yawn,scarf,#181B2B,#FD9DCB
shiny,green mohawk,closed,open,tattoos,#FFFFFF,#EE2840
cool gold,baseball,sparkling,grinning,hawaiian2,#181B2B,#FD9DCB
shiny,afro,closed,yawn,basketball,#F6C3DB,#B5B3DA
shiny,ribs,angry,open,basketball,#F6C3DB,#B5B3DA
standard,santa hat,closed,standard,t-shirt,#181B2B,#E6CAAF
vintage yellow,white mohawk,wink,no expression,hawaiian2,#FFFFFF,#FD9DCB
nerdy,bucket hat,dizzy,no expression,collared,#FFFFFF,#E6CAAF
cool gold,baseball,wink,grinning,tattoos,#FFFFFF,#EE2840
plastic,afro,dizzy,standard,basketball,#D9BD9E,#FAE74B
transparent,bennett,angry,smoking,overalls,#387DDC,#E6CAAF
nerdy,sausage,angry,grinning,hawaiian3,#181B2B,#B5B3DA
transparent,bennett,closed,grinning,hawaiian1,#959A99,#F68A5C
shiny,fishing hat,angry,yawn,t-shirt,#FFFFFF,#B5B3DA
plastic,baseball,angry,no expression,basketball,#F6C3DB,#E6CAAF
vintage red,ribs,standard,standard,inmate,#F6C3DB,#E6CAAF
standard,bucket hat,dizzy,standard,tattoos,#D9BD9E,#FD9DCB
cool pink,white mohawk,wink,standard,standard,#D9BD9E,#EE2840
transparent,poop,angry,fish,t-shirt,#FFFFFF,#EE2840
plastic,bucket hat,standard,standard,collared,#FFFFFF,#F68A5C
shiny,bennett,standard,open,punk,#181B2B,#F68A5C
nerdy,snowhat,standard,smoking,hoodie,#FFFFFF,#F68A5C
cool pink,snowhat,closed,yawn,hawaiian1,#387DDC,#98CDCD
standard,green mohawk,standard,standard,basketball,#FFFFFF,#F68A5C
plastic,sausage,standard,no expression,hawaiian2,#959A99,#B5B3DA
transparent,baseball,angry,standard,collared,#FFFFFF,#B5B3DA
transparent,green mohawk,standard,open,collared,#D9BD9E,#FD9DCB
transparent,bucket hat,sparkling,open,overalls,#181B2B,#F68A5C
transparent,green mohawk,sparkling,grinning,basketball,#387DDC,#FAE74B
nerdy,baseball,angry,no expression,hawaiian2,#181B2B,#EE2840
nerdy,aviator,sparkling,yawn,t-shirt,#FFFFFF,#F68A5C
shiny,santa hat,sparkling,open,basketball,#959A99,#E6CAAF
standard,green mohawk,angry,yawn,hawaiian1,#181B2B,#FD9DCB
plastic,ribs,wink,grinning,hawaiian2,#C62B3E,#EE2840
standard,white mohawk,wink,no expression,collared,#F6C3DB,#FD9DCB
plastic,white mohawk,angry,open,scarf,#FFFFFF,#E6CAAF
vintage red,white mohawk,standard,no expression,hawaiian3,#959A99,#B5B3DA
standard,standard,sparkling,yawn,punk,#959A99,#B5B3DA
nerdy,ribs,wink,yawn,hawaiian2,#FFFFFF,#EE2840
cool pink,bucket hat,standard,open,hawaiian3,#F6C3DB,#FD9DCB
shiny,red mohawk,angry,standard,collared,#F6C3DB,#98CDCD
vintage yellow,bucket hat,angry,yawn,scarf,#387DDC,#EE2840
transparent,standard,closed,open,basketball,#959A99,#F68A5C
shiny,brain,standard,smoking,punk,#FFFFFF,#98CDCD
nerdy,white mohawk,sparkling,yawn,t-shirt,#D9BD9E,#98CDCD
nerdy,bennett,angry,smoking,collared,#FFFFFF,#FD9DCB
plastic,brain,sparkling,yawn,tattoos,#959A99,#E6CAAF
transparent,snowhat,closed,smoking,hawaiian1,#959A99,#F68A5C
standard,afro,wink,smoking,hoodie,#FFFFFF,#E6CAAF
transparent,bucket hat,closed,standard,inmate,#959A99,#98CDCD
standard,standard,wink,smoking,punk,#FFFFFF,#E6CAAF
shiny,afro,sparkling,yawn,collared,#FFFFFF,#FD9DCB
transparent,afro,closed,grinning,hawaiian3,#FFFFFF,#FAE74B
transparent,santa hat,wink,standard,hawaiian1,#FFFFFF,#F68A5C
cool pink,baseball,standard,open,hawaiian3,#F6C3DB,#FAE74B
nerdy,aviator,closed,grinning,scarf,#FFFFFF,#FAE74B
vintage red,bennett,standard,standard,collared,#181B2B,#E6CAAF
nerdy,bennett,standard,standard,hawaiian2,#387DDC,#98CDCD
cool pink,bennett,standard,standard,collared,#FFFFFF,#98CDCD
plastic,ribs,closed,grinning,overalls,#959A99,#FD9DCB
nerdy,afro,angry,yawn,hawaiian3,#D9BD9E,#EE2840
transparent,sausage,wink,yawn,punk,#181B2B,#B5B3DA
plastic,aviator,standard,no expression,hoodie,#FFFFFF,#F68A5C
plastic,sausage,angry,smoking,t-shirt,#181B2B,#98CDCD
nerdy,standard,wink,grinning,basketball,#D9BD9E,#E6CAAF
vintage yellow,white mohawk,sparkling,yawn,hawaiian2,#C62B3E,#FAE74B
vintage yellow,green mohawk,standard,open,inmate,#181B2B,#E6CAAF
transparent,baseball,standard,smoking,hoodie,#C62B3E,#E6CAAF
nerdy,fishing hat,angry,yawn,overalls,#F6C3DB,#FD9DCB
shiny,green mohawk,standard,no expression,inmate,#C62B3E,#FAE74B
transparent,bennett,wink,grinning,hawaiian1,#D9BD9E,#98CDCD
standard,snowhat,angry,fish,overalls,#D9BD9E,#98CDCD
transparent,blue mohawk,closed,standard,overalls,#D9BD9E,#98CDCD
transparent,blue mohawk,standard,yawn,basketball,#FFFFFF,#B5B3DA
vintage yellow,snowhat,standard,standard,overalls,#D9BD9E,#FD9DCB
nerdy,ribs,closed,yawn,hawaiian1,#FFFFFF,#B5B3DA
cool pink,fishing hat,dizzy,no expression,punk,#C62B3E,#98CDCD
nerdy,bucket hat,closed,standard,tattoos,#181B2B,#F68A5C
cool pink,bennett,angry,yawn,hawaiian3,#C62B3E,#FD9DCB
transparent,baseball,dizzy,standard,t-shirt,#959A99,#F68A5C
vintage yellow,white mohawk,sparkling,smoking,inmate,#959A99,#FAE74B
shiny,standard,sparkling,grinning,t-shirt,#F6C3DB,#98CDCD
shiny,fishing hat,standard,fish,hoodie,#181B2B,#B5B3DA
cool gold,bennett,standard,grinning,hoodie,#F6C3DB,#F68A5C
vintage yellow,sausage,closed,smoking,punk,#959A99,#F68A5C
transparent,poop,wink,smoking,hoodie,#FFFFFF,#B5B3DA
plastic,fishing hat,wink,open,overalls,#F6C3DB,#EE2840
nerdy,sausage,angry,fish,scarf,#FFFFFF,#F68A5C
transparent,baseball,closed,smoking,hoodie,#181B2B,#EE2840
transparent,aviator,angry,yawn,hawaiian3,#181B2B,#FAE74B
nerdy,fishing hat,wink,open,hawaiian3,#C62B3E,#FD9DCB
standard,white mohawk,closed,no expression,hawaiian3,#FFFFFF,#F68A5C
nerdy,santa hat,closed,smoking,tattoos,#C62B3E,#B5B3DA
nerdy,sausage,dizzy,standard,hawaiian3,#181B2B,#B5B3DA
transparent,brain,closed,standard,hawaiian3,#F6C3DB,#F68A5C
shiny,afro,closed,yawn,hawaiian1,#959A99,#B5B3DA
standard,aviator,sparkling,grinning,hawaiian1,#FFFFFF,#E6CAAF
cool gold,baseball,wink,no expression,scarf,#FFFFFF,#E6CAAF
transparent,snowhat,standard,grinning,t-shirt,#D9BD9E,#F68A5C
transparent,snowhat,sparkling,smoking,t-shirt,#C62B3E,#98CDCD
standard,bucket hat,sparkling,smoking,standard,#FFFFFF,#EE2840
standard,bennett,closed,fish,collared,#FFFFFF,#E6CAAF
nerdy,sausage,angry,no expression,tattoos,#FFFFFF,#FAE74B
nerdy,blue mohawk,sparkling,smoking,hawaiian2,#FFFFFF,#EE2840
transparent,bennett,standard,standard,collared,#FFFFFF,#F68A5C
nerdy,snowhat,sparkling,fish,hawaiian3,#959A99,#F68A5C
shiny,snowhat,closed,smoking,collared,#959A99,#FAE74B
plastic,aviator,wink,open,hoodie,#387DDC,#FD9DCB
standard,bennett,standard,smoking,overalls,#387DDC,#EE2840
transparent,ribs,wink,smoking,t-shirt,#959A99,#E6CAAF
cool pink,snowhat,wink,open,hawaiian3,#FFFFFF,#FAE74B
standard,afro,closed,standard,punk,#C62B3E,#B5B3DA
vintage red,red mohawk,wink,yawn,standard,#FFFFFF,#E6CAAF
nerdy,red mohawk,wink,no expression,hawaiian3,#D9BD9E,#FAE74B
standard,baseball,standard,open,inmate,#FFFFFF,#E6CAAF
nerdy,brain,closed,yawn,punk,#D9BD9E,#EE2840
nerdy,white mohawk,closed,smoking,overalls,#F6C3DB,#98CDCD
standard,blue mohawk,angry,yawn,hawaiian1,#959A99,#F68A5C
shiny,aviator,angry,smoking,tattoos,#F6C3DB,#FAE74B
transparent,snowhat,closed,no expression,t-shirt,#C62B3E,#98CDCD
standard,green mohawk,closed,open,t-shirt,#F6C3DB,#FD9DCB
vintage red,bucket hat,wink,no expression,scarf,#181B2B,#B5B3DA
transparent,bucket hat,angry,no expression,hawaiian2,#181B2B,#FAE74B
standard,standard,standard,grinning,tattoos,#959A99,#FD9DCB
vintage red,snowhat,angry,yawn,collared,#FFFFFF,#B5B3DA
nerdy,snowhat,closed,yawn,scarf,#FFFFFF,#EE2840
nerdy,baseball,wink,yawn,overalls,#181B2B,#FD9DCB
transparent,baseball,wink,yawn,hawaiian2,#FFFFFF,#B5B3DA
nerdy,bennett,standard,no expression,hoodie,#959A99,#E6CAAF
cool pink,bucket hat,wink,no expression,hawaiian1,#181B2B,#FAE74B
nerdy,red mohawk,sparkling,grinning,hawaiian3,#D9BD9E,#EE2840
cool pink,baseball,wink,grinning,basketball,#C62B3E,#98CDCD
vintage red,snowhat,sparkling,fish,t-shirt,#D9BD9E,#FD9DCB
nerdy,bucket hat,wink,standard,collared,#F6C3DB,#EE2840
vintage yellow,bennett,closed,standard,hawaiian2,#959A99,#FAE74B
standard,snowhat,standard,grinning,hawaiian1,#C62B3E,#E6CAAF
cool gold,aviator,wink,open,hawaiian3,#181B2B,#E6CAAF
standard,red mohawk,standard,yawn,t-shirt,#387DDC,#E6CAAF
transparent,baseball,angry,standard,hoodie,#FFFFFF,#98CDCD
nerdy,afro,standard,yawn,hawaiian2,#181B2B,#E6CAAF
transparent,white mohawk,sparkling,grinning,overalls,#F6C3DB,#E6CAAF
shiny,white mohawk,wink,grinning,inmate,#181B2B,#F68A5C
nerdy,baseball,wink,standard,overalls,#D9BD9E,#FAE74B
plastic,blue mohawk,standard,yawn,scarf,#FFFFFF,#FAE74B
cool gold,afro,closed,open,scarf,#181B2B,#98CDCD
standard,white mohawk,closed,open,overalls,#387DDC,#EE2840
transparent,baseball,sparkling,yawn,collared,#181B2B,#F68A5C
shiny,snowhat,angry,yawn,hawaiian1,#D9BD9E,#B5B3DA
vintage red,bucket hat,closed,open,t-shirt,#F6C3DB,#FD9DCB
nerdy,santa hat,standard,standard,t-shirt,#959A99,#E6CAAF
standard,sausage,wink,yawn,t-shirt,#387DDC,#F68A5C
transparent,snowhat,wink,no expression,hawaiian3,#D9BD9E,#EE2840
transparent,snowhat,sparkling,yawn,t-shirt,#FFFFFF,#E6CAAF
standard,green mohawk,dizzy,yawn,hawaiian3,#FFFFFF,#F68A5C
shiny,poop,standard,grinning,scarf,#F6C3DB,#F68A5C
vintage yellow,snowhat,standard,yawn,basketball,#C62B3E,#EE2840
vintage red,fishing hat,closed,no expression,basketball,#C62B3E,#FAE74B
cool gold,brain,wink,yawn,hoodie,#959A99,#98CDCD
shiny,red mohawk,wink,grinning,t-shirt,#D9BD9E,#E6CAAF
shiny,white mohawk,angry,open,scarf,#FFFFFF,#E6CAAF
nerdy,green mohawk,sparkling,fish,punk,#959A99,#98CDCD
cool gold,sausage,dizzy,no expression,hawaiian1,#387DDC,#98CDCD
standard,white mohawk,wink,grinning,scarf,#FFFFFF,#98CDCD
nerdy,afro,wink,smoking,scarf,#181B2B,#E6CAAF
standard,fishing hat,standard,smoking,overalls,#F6C3DB,#E6CAAF
standard,bucket hat,closed,standard,hawaiian3,#959A99,#FAE74B
transparent,blue mohawk,wink,open,scarf,#FFFFFF,#EE2840
plastic,snowhat,closed,grinning,scarf,#181B2B,#EE2840
cool pink,bucket hat,standard,smoking,hoodie,#FFFFFF,#E6CAAF
cool pink,snowhat,wink,no expression,punk,#181B2B,#B5B3DA
cool gold,aviator,dizzy,open,hawaiian3,#F6C3DB,#98CDCD
standard,fishing hat,wink,standard,tattoos,#959A99,#E6CAAF
cool pink,bucket hat,standard,no expression,hawaiian3,#F6C3DB,#98CDCD
standard,afro,wink,smoking,hawaiian1,#F6C3DB,#98CDCD
transparent,baseball,closed,open,t-shirt,#F6C3DB,#F68A5C
standard,blue mohawk,standard,open,hoodie,#C62B3E,#98CDCD
transparent,white mohawk,dizzy,standard,overalls,#181B2B,#E6CAAF
nerdy,aviator,standard,standard,hawaiian2,#FFFFFF,#F68A5C
transparent,santa hat,standard,smoking,hawaiian3,#C62B3E,#F68A5C
standard,snowhat,angry,no expression,basketball,#FFFFFF,#B5B3DA
cool pink,bennett,standard,smoking,hoodie,#959A99,#E6CAAF
standard,snowhat,angry,standard,scarf,#C62B3E,#E6CAAF
plastic,baseball,closed,standard,hawaiian2,#C62B3E,#FAE74B
vintage yellow,afro,wink,no expression,scarf,#F6C3DB,#FD9DCB
transparent,aviator,dizzy,yawn,t-shirt,#F6C3DB,#E6CAAF
transparent,blue mohawk,wink,open,scarf,#F6C3DB,#B5B3DA
vintage yellow,snowhat,standard,standard,inmate,#959A99,#FD9DCB
standard,santa hat,wink,standard,t-shirt,#387DDC,#B5B3DA
plastic,santa hat,wink,yawn,hawaiian1,#C62B3E,#98CDCD
standard,red mohawk,dizzy,yawn,hoodie,#F6C3DB,#E6CAAF
